iter	RMSE
602	1877.518995
603	1877.364295
604	1876.91889
605	1876.647418
606	1876.453627
607	1876.115931
608	1875.876108
609	1875.76985
610	1875.51183
611	1875.348207
612	1875.119672
613	1874.87029
614	1874.748263
615	1874.533017
616	1874.332655
617	1874.112276
618	1873.759907
619	1873.532471
620	1873.377252
621	1873.20683
622	1873.025659
623	1872.784993
624	1872.566231
625	1872.431093
626	1872.216592
627	1872.040182
628	1871.917164
629	1871.683282
630	1871.536501
631	1871.364494
632	1871.173855
633	1870.909223
634	1870.681397
635	1870.538093
636	1870.370289
637	1870.256554
638	1870.028558
639	1869.920625
640	1869.763499
641	1869.464502
642	1869.246874
643	1869.098492
644	1868.766446
645	1868.537875
646	1868.350566
647	1868.138001
648	1867.941127
649	1867.832352
650	1867.636371
651	1867.512283
652	1867.31048
653	1867.103277
654	1866.715483
655	1866.556011
656	1866.418993
657	1866.177769
658	1865.95174
659	1865.743074
660	1865.596363
661	1865.356324
662	1865.206903
663	1865.06455
664	1864.699506
665	1864.537914
666	1864.436693
667	1864.339756
668	1864.167298
669	1863.966299
670	1863.770465
671	1863.471898
672	1863.281056
673	1863.096517
674	1862.867207
675	1862.739829
676	1862.529777
677	1862.406953
678	1862.279289
679	1862.082672
680	1861.858854
681	1861.731675
682	1861.637984
683	1861.491411
684	1861.321058
685	1861.014333
686	1860.849782
687	1860.665439
688	1860.485882
689	1860.395763
690	1860.274994
691	1860.097793
692	1859.861466
693	1859.645895
694	1859.437902
695	1859.308459
696	1859.209339
697	1858.871867
698	1858.780871
699	1858.485137
